NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006778	GO:0006778		43	0.5244678	1.835643	0.0031897926	0.011769122	0.636	2663	tags=42%, list=14%, signal=48%	
GO:0009124	GO:0009124		37	0.53519297	1.8332351	0.0	0.0120553775	0.653	6213	tags=70%, list=32%, signal=103%	
GO:1903047	GO:1903047		104	0.4430092	1.8306764	0.0	0.012345938	0.667	5258	tags=51%, list=27%, signal=69%	
GO:0033013	GO:0033013		43	0.5244678	1.8268126	0.0	0.01268521	0.683	2663	tags=42%, list=14%, signal=48%	
GO:0015631	GO:0015631		101	0.4478968	1.8254099	0.0	0.0127628585	0.688	5033	tags=47%, list=26%, signal=62%	
GO:1990204	GO:1990204		105	0.4440821	1.8247836	0.0	0.012730321	0.695	7133	tags=55%, list=36%, signal=86%	
GO:0019866	GO:0019866		212	0.40900558	1.819551	0.0	0.013380273	0.716	7078	tags=50%, list=36%, signal=78%	
GO:0016859	GO:0016859		34	0.5437272	1.8190904	0.0	0.013287896	0.719	4825	tags=56%, list=25%, signal=74%	
GO:0043038	GO:0043038		39	0.5333601	1.8187072	0.004746835	0.013240624	0.723	4014	tags=49%, list=20%, signal=61%	
GO:0032392	GO:0032392		17	0.6366874	1.8182787	0.00862069	0.01321422	0.729	5106	tags=65%, list=26%, signal=87%	
GO:0009808	GO:0009808		26	0.57614136	1.8166156	0.0016806723	0.013385087	0.736	3264	tags=50%, list=17%, signal=60%	
GO:0006144	GO:0006144		15	0.6514929	1.8160098	0.0	0.013337555	0.738	5462	tags=73%, list=28%, signal=102%	
GO:0003755	GO:0003755		32	0.5436788	1.8120971	0.0	0.013706395	0.745	4825	tags=56%, list=25%, signal=75%	
GO:0071103	GO:0071103		23	0.59552276	1.8078644	0.0	0.0141799655	0.758	5106	tags=57%, list=26%, signal=76%	
GO:0071482	GO:0071482		59	0.47601217	1.7947731	0.0	0.016499156	0.806	2927	tags=36%, list=15%, signal=42%	
GO:0003678	GO:0003678		17	0.6366874	1.7942258	0.0033670033	0.016412867	0.807	5106	tags=65%, list=26%, signal=87%	
GO:0051656	GO:0051656		39	0.518224	1.7938495	0.0	0.01638611	0.811	4348	tags=44%, list=22%, signal=56%	
GO:0010109	GO:0010109		18	0.6268226	1.7934709	0.0016611295	0.016321613	0.815	3012	tags=56%, list=15%, signal=66%	
GO:0005762	GO:0005762		22	0.60484827	1.7923579	0.0034129692	0.016421085	0.822	6027	tags=64%, list=31%, signal=92%	
GO:0046838	GO:0046838		18	0.6259576	1.7880281	0.0067453627	0.017059075	0.843	4297	tags=72%, list=22%, signal=92%	
GO:0016840	GO:0016840		22	0.5883274	1.7840449	0.0017271157	0.017698977	0.854	3279	tags=50%, list=17%, signal=60%	
GO:0006767	GO:0006767		46	0.49643555	1.7807778	0.0015337423	0.018239463	0.865	5956	tags=50%, list=30%, signal=72%	
GO:0071214	GO:0071214		77	0.4503284	1.7806152	0.001472754	0.01810553	0.866	1932	tags=29%, list=10%, signal=32%	
GO:0051537	GO:0051537		21	0.59099996	1.7774965	0.003338898	0.018412322	0.874	3260	tags=43%, list=17%, signal=51%	
GO:0009073	GO:0009073		24	0.5738977	1.7702124	0.0033783785	0.01972296	0.888	5519	tags=54%, list=28%, signal=75%	
GO:0000307	GO:0000307		43	0.50337315	1.7698529	0.0	0.019614924	0.889	5791	tags=60%, list=30%, signal=86%	
GO:0071478	GO:0071478		59	0.47601217	1.7694707	0.0030257185	0.019551985	0.891	2927	tags=36%, list=15%, signal=42%	
GO:0104004	GO:0104004		77	0.4503284	1.7667084	0.0	0.020002414	0.897	1932	tags=29%, list=10%, signal=32%	
GO:0032508	GO:0032508		17	0.6366874	1.7531158	0.0050933785	0.02325656	0.934	5106	tags=65%, list=26%, signal=87%	
GO:0016879	GO:0016879		41	0.5053889	1.7527627	0.0031695722	0.023139087	0.935	5956	tags=49%, list=30%, signal=70%	
GO:0140101	GO:0140101		87	0.43557414	1.7462419	0.0	0.024385072	0.946	4014	tags=33%, list=20%, signal=42%	
GO:0005747	GO:0005747		44	0.48947912	1.7421368	0.0045523522	0.025373124	0.954	7756	tags=66%, list=40%, signal=109%	
GO:0048046	GO:0048046		183	0.39106777	1.7413597	0.0	0.025331525	0.955	3301	tags=36%, list=17%, signal=42%	
GO:0009698	GO:0009698		69	0.4536377	1.7368622	0.0	0.026228476	0.961	2821	tags=42%, list=14%, signal=49%	
GO:0022884	GO:0022884		21	0.5655537	1.7348592	0.0035650623	0.026527727	0.962	5346	tags=52%, list=27%, signal=72%	
GO:0005839	GO:0005839		22	0.5725254	1.7335652	0.0033112583	0.026708513	0.963	5068	tags=50%, list=26%, signal=67%	
