"","id","name","p_val","log_fold_change","sig_rank"
"4055","AT2G43130","ARA-4",0.00051381266331873,-10.4350551580638,-10.9264699325143
"4057","AT1G69220","SIK1",0.000514433748362384,-20.1881352491861,-10.9247270887538
"4058","AT2G25964",NA,0.000514433748362384,-4.49564545218341,-10.9247270887538
"4061","AT1G64460","PI4K&#947;2",0.000514903485376442,-13.9715932979325,-10.923410343793
"4063","AT1G32640","ATMYC2",0.000515186138455643,-39.1224789911529,-10.9226186025766
"4066","AT1G73220","AtOCT1",0.000516561175727272,-18.3058478384953,-10.9187731636788
"4068","AT5G47740",NA,0.000518136415651646,-3.37265611313318,-10.9143803969385
"4069","AT4G24450","At4g24450",0.000518249984166883,-1.47405459416839,-10.9140642122907
"4070","AT2G20680","AtMAN2",0.000518583465570869,-7.29065258309924,-10.9131361712741
"4071","AT2G25490","EBF1",0.000519495708720626,-49.3706247275574,-10.9106005477117
"4074","AT1G12080",NA,0.000520021381848091,-1412.3160791406,-10.9091414354265
"4077","AT1G65985",NA,0.000520786388838683,-7.98713566824438,-10.9070206365212
"4079","AT4G16180",NA,0.000520827854240265,-15.648681134826,-10.9069057726363
"4080","AT5G51790","BHLH120",0.000520827854240265,-7.7077956886933,-10.9069057726363
"4082","AT5G03530","ATRAB",0.000521151574327536,-13.594073947351,-10.9060093453811
"4083","AT1G02860","BAH1",0.000521267398779483,-14.5997932136508,-10.9056887461452
"4086","AT1G33260",NA,0.000522896142506055,-2.43272884784142,-10.9011879523326
"4087","AT5G02580",NA,0.000522983245336257,-25.2976132135652,-10.9009476515428
"4090","AT1G72416",NA,0.000525266271040856,-2.0925047482583,-10.8946634319584
"4093","AT5G63905",NA,0.000525488335039135,-4.05292381696878,-10.89405364042
"4094","AT3G51410",NA,0.000525985098282412,-6.10629351449798,-10.8926904525387
"4095","AT2G32240","PICC",0.000526332932821453,-136.314937933444,-10.8917367120003
"4096","AT4G10510",NA,0.000526782749757733,-1.21017512402165,-10.8905042762603
"4097","AT1G30750",NA,0.000527364742720298,-20.7216319978893,-10.8889112573475
"4098","AT4G35840","ATL26",0.000527555305880224,-13.7593766793065,-10.8883900339066
"4101","AT4G16790",NA,0.000529507998810932,-5.43773670843278,-10.883059901644
"4102","AT5G63140","ATPAP29",0.000529507998810932,-16.1180776049829,-10.883059901644
"4105","AT3G05970","ATLACS6",0.000530292704952896,-23.11291665032,-10.880923477574
"4107","AT1G23760","JP630",0.000531003946774564,-19.0739945131424,-10.8789897954109
"4110","AT5G62680","AtNPF2.11",0.000531266614007366,-37.0337194461098,-10.8782763261012
"4111","AT4G04810","ATMSRB4",0.000533138268078132,-1.46468961358738,-10.8732026386827
"4115","AT5G07920","ATDGK1",0.000533910260779102,-15.0567881457089,-10.8711151043195
"4117","AT1G04140",NA,0.000534579954930956,-28.407682984686,-10.8693066374864
"4118","AT4G34419",NA,0.000534848655264525,-1.56613601996497,-10.8685816659582
